Student ID,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6
205842,6.5,6.5,9.5,5.5,3.5,9.5
280642,8.5,9.5,3.5,9.5,4,9.5
289179,7,9.5,9,9.5,7,4
264178,9,3.5,5.5,5,5.5,4.5
215754,5.5,9.5,5,5,4,9.5
219697,5,7.5,8,4.5,9,3.5
288204,4,5.5,6.5,9.5,9,9
285280,9.5,6,9,4,5,9
265518,9.5,4.5,7.5,5.5,7,3.5
266254,7,8.5,8,3.5,3.5,8.5
286523,7.5,8.5,9,9.5,9.5,6
267208,3.5,9.5,5.5,8,7,4
285888,3.5,7,8.5,7,8.5,5.5
264302,6.5,7.5,3.5,6,5,9
205180,9.5,7.5,9.5,3.5,7.5,6
299348,9.5,6.5,7,5,7.5,7
299342,4,5,6,3.5,8,5
206786,5.5,5,4,7,9.5,7
276254,9,6.5,8.5,6,9,7.5
292954,9.5,6.5,6,7,4.5,8
296067,3.5,8.5,6,7.5,4.5,4
241386,9,5.5,4,7,6.5,5.5
225309,9,4,5.5,6.5,3.5,3.5
214376,3.5,4.5,4.5,5.5,7,7
283567,4.5,9,6,8.5,9.5,8.5
279311,8,4.5,8,5,8.5,6
237422,4,4.5,9.5,3.5,7.5,7.5
288359,7,6,8,7.5,5.5,8.5
292921,4.5,9.5,4.5,4,5,6
285434,4.5,7.5,4,5,6.5,3.5
250254,8,8,5.5,9,9,6
239240,9.5,6,6,4.5,8.5,8
288513,4,3.5,9,7,8,5
228626,8.5,9.5,6,5.5,3.5,4
225091,8,8,5,5,8.5,6
207213,6,8.5,5,8,8.5,5.5
201425,8.5,8,6,6,6.5,4
276740,7,9,7,4.5,9.5,4.5
251585,9.5,8,5.5,8,4,8.5
297243,7,8,6,3.5,9.5,8.5
210327,9.5,5,3.5,4,7,8
211064,6.5,6.5,9,6,6.5,9.5
205252,7,4,8,6,8,6.5
282679,7,3.5,4,8,7.5,9.5
247622,6,9,5.5,5,8.5,9.5
291465,8.5,8,9.5,6.5,8,8
222342,4,3.5,5.5,6.5,3.5,8
295354,4.5,4,5,9,4.5,8.5
236971,3.5,7.5,8.5,4.5,3.5,7
236981,1.5,6,9,5,4.5,7
